id,name,search_name,generic,category,category_assumed,needs_review,duplicate,quantity,reorder_level,unit_cost
1,CARBEMEZEPINE TAB 200MG,CARBEMEZEPINE TAB 200MG,,Tablet/Capsule,,YES,,0,,
2,CLOFENAC 50,CLOFENAC 50,,Tablet/Capsule,,,,0,,
3,NEUROVITE FORTE,NEUROVITE FORTE,,Tablet/Capsule,,,,0,,
4,DOPATAB (METHYDOPA 250MG),DOPATAB,METHYDOPA 250MG,Tablet/Capsule,,,,0,,
5,ANOROL (PARACETAMOL BOPHEN),ANOROL,PARACETAMOL BOPHEN,Tablet/Capsule,,,,0,,
6,CLAMIDE (GLIBENCLOMIDE 5MG),CLAMIDE,GLIBENCLOMIDE 5MG,Tablet/Capsule,,YES,,0,,
7,LORATADIN (LORATIDINE 10MG),LORATADIN,LORATIDINE 10MG,Tablet/Capsule,,YES,,0,,
8,FEXOVID 180MG (FEXOFENADE),FEXOVID 180MG,FEXOFENADE,Tablet/Capsule,,YES,,0,,
9,DOXYCAP,DOXYCAP,,Tablet/Capsule,,,,0,,
10,DIABETMIN,DIABETMIN,,Tablet/Capsule,,,,0,,
11,LUTER (ARTHEMETHE LUMETRAN),LUTER,ARTHEMETHE LUMETRAN,Tablet/Capsule,,YES,,0,,
12,VIREST 400MG (A CICLOVIR),VIREST 400MG,A CICLOVIR,Tablet/Capsule,,YES,,0,,
13,VIREST 200MG (A CICLOVIR),VIREST 200MG,A CICLOVIR,Tablet/Capsule,,YES,,0,,
14,FLUCOR DAY,FLUCOR DAY,,Tablet/Capsule,,,,0,,
15,ANLODIPINE BY NORADINE,ANLODIPINE BY NORADINE,,Tablet/Capsule,,YES,,0,,
16,AVOMINE TAB,AVOMINE TAB,,Tablet/Capsule,,,,0,,
17,MIXAGRIP TAB,MIXAGRIP TAB,,Tablet/Capsule,,,,0,,
18,PROCOLD TAB,PROCOLD TAB,,Tablet/Capsule,,,,0,,
19,MIXANAL TAB,MIXANAL TAB,,Tablet/Capsule,,,,0,,
20,BOSKA TAB,BOSKA TAB,,Tablet/Capsule,,,,0,,
21,FOR PAIN,FOR PAIN,,Tablet/Capsule,,,,0,,
22,SUDREX,SUDREX,,Tablet/Capsule,,,,0,,
23,LONART X24,LONART X24,,Tablet/Capsule,,,,0,,
24,ZAIKI AFTER 5,ZAIKI AFTER 5,,Tablet/Capsule,,,,0,,
25,DANACID BY 1000,DANACID BY 1000,,Tablet/Capsule,,,,0,,
26,DANACID SACHET,DANACID SACHET,,Tablet/Capsule,,,,0,,
27,CUROFENAC TAB,CUROFENAC TAB,,Tablet/Capsule,,,,0,,
28,(PREDICURE) PREDISOLONE TAB,PREDISOLONE TAB,PREDICURE,Tablet/Capsule,,,,0,,
29,VASOPRIN,VASOPRIN,,Tablet/Capsule,,,,0,,
30,XASTEN (DEXAMETHASONE),XASTEN,DEXAMETHASONE,Tablet/Capsule,,,,0,,
31,M&B PARACETAMOL,M&B PARACETAMOL,,Tablet/Capsule,,,,0,,
32,TETRACYCLINE TAB 250MG,TETRACYCLINE TAB 250MG,,Tablet/Capsule,,,,0,,
33,AMPICILIN CAPSULE,AMPICILIN CAPSULE,,Tablet/Capsule,,YES,,0,,
34,CYPRONTAB (CYPROHEPTADINE),CYPRONTAB,CYPROHEPTADINE,Tablet/Capsule,,,,0,,
35,OMEPRAZOLE CAP BY FAMA,OMEPRAZOLE CAP BY FAMA,,Tablet/Capsule,,,,0,,
36,EMCAP PARACETAMOL BY 1000,EMCAP PARACETAMOL BY 1000,,Tablet/Capsule,,,,0,,
37,AMITRIPTILINE BY 1000,AMITRIPTILINE BY 1000,,Tablet/Capsule,,YES,,0,,
38,NAZAMOX 500MG (AMOXICILIN CAP),NAZAMOX 500MG,AMOXICILIN CAP,Tablet/Capsule,,YES,,0,,
39,NONSIPA 500MG (CEFUROXINE),NONSIPA 500MG,CEFUROXINE,Tablet/Capsule,,YES,,0,,
40,EMTRIM TAB (CO-TRIMASOLE),EMTRIM TAB,CO-TRIMASOLE,Tablet/Capsule,,YES,,0,,
41,CLARY 500 (CLARITHROMYCIN),CLARY 500,CLARITHROMYCIN,Tablet/Capsule,,,,0,,
42,LACLOX CAPSULE (AMPICILINE CLOXA),LACLOX CAPSULE,AMPICILINE CLOXA,Tablet/Capsule,,YES,,0,,
43,EUROCLOX 500MG (AMPICILIN ECLOX),EUROCLOX 500MG,AMPICILIN ECLOX,Tablet/Capsule,,YES,,0,,
44,AQUACLAV 625MG,AQUACLAV 625MG,,Tablet/Capsule,,,,0,,
45,MECURE (AMOXICILIN E CLAVULANIC),MECURE,AMOXICILIN E CLAVULANIC,Tablet/Capsule,,YES,,0,,
46,PIVOLOCIN (LEVOFLOXACIN),PIVOLOCIN,LEVOFLOXACIN,Tablet/Capsule,,,,0,,
47,EZCEF (CEFIXIME USP 400MG),EZCEF,CEFIXIME USP 400MG,Tablet/Capsule,,,,0,,
48,RB CARE (RABEPRAZOL),RB CARE,RABEPRAZOL,Tablet/Capsule,,,,0,,
49,BERLIN (PEPTHAXOCIN) 400MG 160C,BERLIN 400MG 160C,PEPTHAXOCIN,Tablet/Capsule,,YES,,0,,
50,RILOX 400MG (OFLOXACIN),RILOX 400MG,OFLOXACIN,Tablet/Capsule,,,,0,,
51,VEGA 100 SIGNATURE,VEGA 100 SIGNATURE,,Tablet/Capsule,,,,0,,
52,VIRGA 100 (SILDENAFIL),VIRGA 100,SILDENAFIL,Tablet/Capsule,,,,0,,
53,VIGOR CHOCOLATE,VIGOR CHOCOLATE,,Tablet/Capsule,,,,0,,
54,POSTINOR 2 (BRANDED),POSTINOR 2,BRANDED,Tablet/Capsule,,,,0,,
55,POST PILL,POST PILL,,Tablet/Capsule,,,,0,,
56,SASTYMIN CAPSULE,SASTYMIN CAPSULE,,Tablet/Capsule,,,,0,,
57,ASTYFER CAPSULE,ASTYFER CAPSULE,,Tablet/Capsule,,,,0,,
58,ARTHEMED 80/480 (ARTHEMETER),ARTHEMED 80/480,ARTHEMETER,Tablet/Capsule,,,,0,,
59,CHYMORAL TAB BY GLOWMORAL,CHYMORAL TAB BY GLOWMORAL,,Tablet/Capsule,,,,0,,
60,NIFECURE (NIFEDIPINE),NIFECURE,NIFEDIPINE,Tablet/Capsule,,,,0,,
61,(NUCARD) VALSARTAN 80MG,VALSARTAN 80MG,NUCARD,Tablet/Capsule,,,,0,,
62,ZOUT (ALBENDAZOLE 200MG),ZOUT,ALBENDAZOLE 200MG,Tablet/Capsule,,,,0,,
63,VIT C BY 100 (BRANDED),VIT C BY 100,BRANDED,Tablet/Capsule,,,,0,,
64,VIT C BY 100,VIT C BY 100,,Tablet/Capsule,,,,0,,
65,UNICURE IBUTEN 400MG,UNICURE IBUTEN 400MG,,Tablet/Capsule,,,,0,,
66,LOKNAL DISPERSIBLE (ANTI-MAL),LOKNAL DISPERSIBLE,ANTI-MAL,Tablet/Capsule,,,,0,,
67,LIFENOL,LIFENOL,,Tablet/Capsule,,,,0,,
68,DIAGLOW (LOPERAMIDE),DIAGLOW,LOPERAMIDE,Tablet/Capsule,,,,0,,
69,QUINENE TAB 300MG,QUINENE TAB 300MG,,Tablet/Capsule,,,,0,,
70,EMZOR PARACETAMOL,EMZOR PARACETAMOL,,Tablet/Capsule,,,,0,,
71,TORSIMEX 20MG,TORSIMEX 20MG,,Tablet/Capsule,,,,0,,
72,BEDEX VALSARTAN 160MG SFH,BEDEX VALSARTAN 160MG SFH,,Tablet/Capsule,,,,0,,
73,ALABUKUN X SACHET,ALABUKUN X SACHET,,Tablet/Capsule,,,,0,,
74,MAMLAR TAB,MAMLAR TAB,,Tablet/Capsule,,,,0,,
75,AMATEM FORTE,AMATEM FORTE,,Tablet/Capsule,,,,0,,
76,AMATEM SOFT GEL 20/120,AMATEM SOFT GEL 20/120,,Tablet/Capsule,,,,0,,
77,BEECHAM AMPICLOX CAP 500MG,BEECHAM AMPICLOX CAP 500MG,,Tablet/Capsule,,,,0,,
78,ARENAX PLUS X6,ARENAX PLUS X6,,Tablet/Capsule,,,,0,,
79,ARENAX PLUS X18,ARENAX PLUS X18,,Tablet/Capsule,,,,0,,
80,ARENAX PLUS 12X,ARENAX PLUS 12X,,Tablet/Capsule,,,,0,,
81,ASTIN -10 (ATORVASTATIN),ASTIN -10,ATORVASTATIN,Tablet/Capsule,,,,0,,
82,CAMOSUNATE 7-13yrs,CAMOSUNATE 7-13yrs,,Tablet/Capsule,,,,0,,
83,CAMOSUNATE 1-6 yrs,CAMOSUNATE 1-6 yrs,,Tablet/Capsule,,,,0,,
84,CENPAIN NIGHT,CENPAIN NIGHT,,Tablet/Capsule,,,,0,,
85,CHUKA PAIN,CHUKA PAIN,,Tablet/Capsule,,,,0,,
86,COATAL TAB 20/120 X24,COATAL TAB 20/120 X24,,Tablet/Capsule,,,,0,,
87,DIABETMIN TAB BY NOVID,DIABETMIN TAB BY NOVID,,Tablet/Capsule,,,,0,,
88,DOLO META B 10 X10 BY 100 BY ..NOX,DOLO META B 10 X10 BY 100 BY ..NOX,,Tablet/Capsule,,,,0,,
89,EPROXEN 500 (NAPOXEN Z650),EPROXEN 500,NAPOXEN Z650,Tablet/Capsule,,YES,,0,,
90,FLUCOX 150MG (FLUCONAZOLE),FLUCOX 150MG,FLUCONAZOLE,Tablet/Capsule,,,,0,,
91,IBASUNATE SOFTGEL,IBASUNATE SOFTGEL,,Tablet/Capsule,,,,0,,
92,5 % D/S,5 % D/S,,Infusion,,,,0,,
93,IVF CIPROFLOXACIN,IVF CIPROFLOXACIN,,Infusion,,,,0,,
94,RINGERS,RINGERS,,Infusion,,,,0,,
95,4.3 D/S,4.3 D/S,,Infusion,,,,0,,
96,NORMAL SALINE,NORMAL SALINE,,Infusion,,,,0,,
97,IVF METRONIDAZOLE,IVF METRONIDAZOLE,,Infusion,,,,0,,
98,IVF LEVOFLOXACIN,IVF LEVOFLOXACIN,,Infusion,,,,0,,
99,IVF FLUCONAZOLE,IVF FLUCONAZOLE,,Infusion,,,,0,,
100,GYNAMED VAGINA CREAM 2%,GYNAMED VAGINA CREAM 2%,,Topical,,,,0,,
101,MYCOTIN PLUS VAGINAL CREAM,MYCOTIN PLUS VAGINAL CREAM,,Topical,,,,0,,
102,NEOSKIN,NEOSKIN,,Topical,,,,0,,
103,VISTA PLUS,VISTA PLUS,,Topical,,,,0,,
104,TYDINEAL,TYDINEAL,,Topical,,,,0,,
105,DICLOMOL GEL,DICLOMOL GEL,,Topical,,,,0,,
106,KY GELLY LUBRICANT,KY GELLY LUBRICANT,,Topical,,,,0,,
107,GOLD CIRCLE CONDOM,GOLD CIRCLE CONDOM,,Topical,,,,0,,
108,PT STRIP (PREGNANCY TEST STRIP),PT STRIP,PREGNANCY TEST STRIP,Topical,,,,0,,
109,TAB METISAN,TAB METISAN,,Topical,,,,0,,
110,TRIBOTAN BABY CREAM,TRIBOTAN BABY CREAM,,Topical,,,,0,,
111,QUADRICLEAR CREAM,QUADRICLEAR CREAM,,Topical,,,,0,,
112,HYDROCORTISONE CREAM,HYDROCORTISONE CREAM,,Topical,,,,0,,
113,ABONIKI,ABONIKI,,Topical,,,,0,,
114,BONJELA CREAM,BONJELA CREAM,,Topical,,,,0,,
115,PERMETRIN CREAM,PERMETRIN CREAM,,Topical,,YES,,0,,
116,DEEP HEAT SPRAY,DEEP HEAT SPRAY,,Topical,,,,0,,
117,NEUROGESIC CREAM (BIG),NEUROGESIC CREAM,BIG,Topical,,,,0,,
118,NEUROGESIC CREAM (SMALL),NEUROGESIC CREAM,SMALL,Topical,,,,0,,
119,SKINEAL CREAM,SKINEAL CREAM,,Topical,,,,0,,
120,EPIDERM CREAM,EPIDERM CREAM,,Topical,,,,0,,
121,NIXODERM CREAM,NIXODERM CREAM,,Topical,,,,0,,
122,CANESTEN CREAM,CANESTEN CREAM,,Topical,,,,0,,
123,LOFNAC GEL,LOFNAC GEL,,Topical,,,,0,,
124,AXORAL (KETOCONAZOLE) CREAM,AXORAL CREAM,KETOCONAZOLE,Topical,,,,0,,
125,FUNBACT-A CREAM,FUNBACT-A CREAM,,Topical,,,,0,,
126,25G DERMAZIN CREAM SMALL,25G DERMAZIN CREAM SMALL,,Topical,,,,0,,
127,GYNAMED CLOTRIMAZOLE VAGINAL TAB,GYNAMED CLOTRIMAZOLE VAGINAL TAB,,Suppository/Pessary,,,,0,,
128,KLINFAST SYRUP,KLINFAST SYRUP,,Suppository/Pessary,,,,0,,
129,KLINFAST FORTE SYRUP,KLINFAST FORTE SYRUP,,Suppository/Pessary,,,,0,,
130,MYCOTEN TAB,MYCOTEN TAB,,Suppository/Pessary,,,,0,,
131,DONYSTATIN VAGINAL TAB,DONYSTATIN VAGINAL TAB,,Suppository/Pessary,,,,0,,
132,CLINDESS,CLINDESS,,Suppository/Pessary,,,,0,,
133,DICLOFENAC SUPPOSITORY,DICLOFENAC SUPPOSITORY,,Suppository/Pessary,,,,0,,
134,BISACODYL SUPPOSITORY,BISACODYL SUPPOSITORY,,Suppository/Pessary,,,,0,,
135,KLOVINAL PESSARY,KLOVINAL PESSARY,,Suppository/Pessary,,,,0,,
136,DICLOLAX (BRANDED),DICLOLAX,BRANDED,Suppository/Pessary,,,,0,,
137,AMISOL SUPPOSITORY,AMISOL SUPPOSITORY,,Suppository/Pessary,,,,0,,
138,CALCIUM (CAL-D3),CALCIUM,CAL-D3,Suppository/Pessary,,,,0,,
139,DICLOFENAC INJ,DICLOFENAC INJ,,Injection,,,,0,,
140,FRUSEMIDE INJ,FRUSEMIDE INJ,,Injection,,,,0,,
141,DEXAMETHASONE INJ,DEXAMETHASONE INJ,,Injection,,,,0,,
142,OXYTOCIN,OXYTOCIN,,Injection,,,,0,,
143,OMEPRAZOLE INJ,OMEPRAZOLE INJ,,Injection,,,,0,,
144,MAGNESIUM SULPHATE INJ,MAGNESIUM SULPHATE INJ,,Injection,,,,0,,
145,RABEPRAZOLE (RABEPRAH 20),RABEPRAZOLE,RABEPRAH 20,Injection,,,,0,,
146,(AMERICAN REMEDY) RABEPRAZOLE INJ,RABEPRAZOLE INJ,AMERICAN REMEDY,Injection,,,,0,,
