issue_type,entry_as_written,note
SPELLING,CARBEMEZEPINE TAB 200MG,CARBEMEZEPINE -> carbamazepine?
SPELLING,CLAMIDE (GLIBENCLOMIDE 5MG),GLIBENCLOMIDE -> glibenclamide?
SPELLING,LORATADIN (LORATIDINE 10MG),LORATIDINE -> loratadine?
SPELLING,FEXOVID 180MG (FEXOFENADE),FEXOFENADE -> fexofenadine?
SPELLING,LUTER (ARTHEMETHE LUMETRAN),ARTHEMETHE -> artemether?
SPELLING,LUTER (ARTHEMETHE LUMETRAN),LUMETRAN -> lumefantrine?
SPELLING,VIREST 400MG (A CICLOVIR),A CICLOVIR -> aciclovir?
SPELLING,VIREST 200MG (A CICLOVIR),A CICLOVIR -> aciclovir?
SPELLING,ANLODIPINE BY NORADINE,ANLODIPINE -> amlodipine?
SPELLING,ANLODIPINE BY NORADINE,NORADINE -> ?
SPELLING,AMPICILIN CAPSULE,AMPICILIN -> ampicillin?
SPELLING,AMITRIPTILINE BY 1000,AMITRIPTILINE -> amitriptyline?
SPELLING,NAZAMOX 500MG (AMOXICILIN CAP),AMOXICILIN -> amoxicillin?
SPELLING,NONSIPA 500MG (CEFUROXINE),CEFUROXINE -> cefuroxime?
SPELLING,EMTRIM TAB (CO-TRIMASOLE),CO-TRIMASOLE -> co-trimoxazole?
SPELLING,LACLOX CAPSULE (AMPICILINE CLOXA),AMPICILIN -> ampicillin?
SPELLING,LACLOX CAPSULE (AMPICILINE CLOXA),AMPICILINE -> ampicillin?
SPELLING,EUROCLOX 500MG (AMPICILIN ECLOX),AMPICILIN -> ampicillin?
SPELLING,MECURE (AMOXICILIN E CLAVULANIC),AMOXICILIN -> amoxicillin?
SPELLING,BERLIN (PEPTHAXOCIN) 400MG 160C,PEPTHAXOCIN -> ?
SPELLING,EPROXEN 500 (NAPOXEN Z650),NAPOXEN -> naproxen?
SPELLING,PERMETRIN CREAM,PERMETRIN -> permethrin?
SPELLING,KETAMIN,KETAMIN -> ketamine?
SPELLING,XYLOCAINE PLUS (LIDOCAINE PALS),PALS -> plus?
SPELLING,CEFUROXINE,CEFUROXINE -> cefuroxime?
SPELLING,CEFTRIAZONE,CEFTRIAZONE -> ceftriaxone?
SPELLING,(BUSCOPAN) HUOSINE,HUOSINE -> hyoscine?
SPELLING,ATEMETHER 80MG / 1ML,ATEMETHER -> artemether?
SPELLING,a-b ARTHETER,ARTHETER -> artemether?
SPELLING,MELOCLOPROMIDE INJ,MELOCLOPROMIDE -> metoclopramide?
SPELLING,AVENTA FRUSENIDE,FRUSENIDE -> furosemide?
SPELLING,PAUCO (METOCLOPROMIDE),METOCLOPROMIDE -> metoclopramide?
SPELLING,TRANONCINOLONE INJ,TRANONCINOLONE -> triamcinolone?
SPELLING,AMINOPHILINE,AMINOPHILINE -> aminophylline?
SPELLING,TETANUS VACINE (10 PCS PER ROLL),VACINE -> vaccine?
SPELLING,ERGOMETRIN,ERGOMETRIN -> ergometrine?
SPELLING,INJ ONOZENTRIN,ONOZENTRIN -> ondansetron?
SPELLING,INJ ONDASENTRON,ONDASENTRON -> ondansetron?
SPELLING,GLOBETA 625 [AMOXICILIN AND POTA],AMOXICILIN -> amoxicillin?
SPELLING,DONYFLOX LEUOFLOXACIN 500MG,LEUOFLOXACIN -> levofloxacin?
SPELLING,ARTEMETHER AND LUMENFANTRINE BY DONY 20/120MG,LUMENFANTRINE -> lumefantrine?
SPELLING,ARTEMETHER AND LUMENFANTRINE BY DONY 80/480MG,LUMENFANTRINE -> lumefantrine?
SPELLING,AMOXICILIN CAPSULE (BEECHAM) 500MG,AMOXICILIN -> amoxicillin?
SPELLING,BY 30 COGNITOL TAB (VINPOCENTIN) 5MG,VINPOCENTIN -> vinpocetine?
SPELLING,SECNIDAZOLE SWISEE 500MG,SWISEE -> ?
SPELLING,METRONIGAZOLE FLANODOL 200MG BY 1000,METRONIGAZOLE -> metronidazole?
SPELLING,AXONAL (KETOCOMZOLE TAB USP 200MG),KETOCOMZOLE -> ketoconazole?
SPELLING,CINNAMOL PARACETAMOL 500MG BY 1000,CINNAMOL -> ?
SPELLING,TALEN (BROMAZEPAN) 3MG,BROMAZEPAN -> bromazepam?
SPELLING,TALEN (BROMAZEPAN) 1.5MG,BROMAZEPAN -> bromazepam?
SPELLING,BIOPHAGE (METROFORMIN) 500MG,METROFORMIN -> metformin?
SPELLING,APETAKRIS (CYPROHEPLADINE 4MG),CYPROHEPLADINE -> cyproheptadine?
SPELLING,AROGUANIL PALUDRINE BY 100 TAB,AROGUANIL -> proguanil?
SPELLING,AUGUMENTIN 1G,AUGUMENTIN -> Augmentin?
SPELLING,MATHIZAN 3MG X 500MG,MATHIZAN -> ?
SPELLING,SYNEROO TM TAB (CALOGOLINE),CALOGOLINE -> cabergoline?
SPELLING,ATORVASTAIN 10MG BY DARLI,ATORVASTAIN -> atorvastatin?
SPELLING,BUSCOPAN (HYOSINE BUTYBROMIDE,HYOSINE -> hyoscine (butylbromide)?
SPELLING,UIDAGLIPTIN 50MG,UIDAGLIPTIN -> vildagliptin?
SPELLING,KEPPRA 250MG (LEVETIRASETAM),LEVETIRASETAM -> levetiracetam?
SPELLING,TAB LABETRALOL 100MG,LABETRALOL -> labetalol?
SPELLING,PYTHROCIN AZITHROMYCIN 500MG,PYTHROCIN -> ?
SPELLING,ZENTIEL ALBENDAZOLE 200MG,ZENTIEL -> ?
SPELLING,ZIMILAT 625MG (AMOXICILIN & POTA),AMOXICILIN -> amoxicillin?
SPELLING,GENEVIN GRISE OFULUIN 500MG,GRISE OFULUIN -> griseofulvin?
SPELLING,ERITHROMYCIN TAB BY FRESHBORN,ERITHROMYCIN -> erythromycin?
DUPLICATE,FLUCONAZOLE CAPSULE 200MG,also at row 276
SPELLING,CETIDYN LEUOETRIZINE TAB,LEUOETRIZINE -> levocetirizine?
SPELLING,HONNIDIL TADALIL 20MG TAB,TADALIL -> tadalafil?
DUPLICATE,CALCIUM (CAL-D3),also at row 138
SPELLING,LORATIDINE (UNBRANDED),LORATIDINE -> loratadine?
SPELLING,PROBIOTICS GUMIES,GUMIES -> gummies?
SPELLING,CRANBERRY GUMIES,GUMIES -> gummies?
SPELLING,AST0VASTATIN 20 (ASTIN 20),"AST0VASTATIN -> atorvastatin? (contains a zero, not an O)"
SPELLING,UNICID TRISILLATE MAGNESIUM,TRISILLATE -> trisilicate?
DUPLICATE,SPIRONOLACTONE 25MG,also at row 270
SPELLING,ASTOVASTATIN 20MG TEVA,ASTOVASTATIN -> atorvastatin?
